Line Name,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hp_secretion_rates (mmol/gDCW * hr)
SF ABF93_1-R1,0.002229843918193419,0.4988011045952304,0.0
SF ABF93_1-R2,0.0021185813822628017,0.6505723844715152,0.0
SF ABF93_1-R3,0.0021885514358841087,0.588836135279083,0.0
SF ABF93_2-R1,0.0023691585294832716,0.47928736520017906,0.10513542563882894
SF ABF93_2-R2,0.0019786424479038816,0.8720792327480192,0.2103665173059275
SF ABF93_2-R3,0.0020323861870038024,0.8119468833886015,0.18193451272116598
SF ABF93_3-R1,0.0020379552753980964,0.8060310816008668,0.19400192914955894
SF ABF93_3-R2,0.002022440591868718,0.8215036052341702,0.19442752162130822
SF ABF93_3-R3,0.001995449493269412,0.9318837601180466,0.23944929181065336
SF ABF93_4-R1,0.0020765789601769223,0.8536682967331836,0.2815083391431616
SF ABF93_4-R2,0.002108371153846747,0.8675419572968729,0.28894350085322285
SF ABF93_4-R3,0.0020063714453818714,1.0131089804280704,0.33843599297223576
SF ABF93_5-R1,0.002074119412010454,0.9750282243220117,0.4664640699410449
SF ABF93_5-R2,0.0021043348512905886,0.9209926295169867,0.4773070050093864
SF ABF93_5-R3,0.002068640900236509,0.9986327544401755,0.4952049819304325
SF ABF93_6-R1,0.0020809076546922534,0.8458553653199631,0.2852566611323427
SF ABF93_6-R2,0.0021001434008441444,0.8600129055845726,0.28323646231502553
SF ABF93_6-R3,0.002016310924637136,0.9824048229664015,0.3209382777553982
SF ABF93_7-R1,0.0020461333090133807,0.9651583721793356,0.3724771607703332
SF ABF93_7-R2,0.0021089352300415593,0.8724801491359228,0.35808955031188966
SF ABF93_7-R3,0.0020303889646255905,1.0,0.38718128321660555
SF ABF93_16-R1,0.002132327034388131,0.7752677095261002,0.23426355851036962
SF ABF93_16-R2,0.002060180339824036,0.931205812887189,0.3202679922556635
SF ABF93_16-R3,0.002162376210678054,0.7876995067991461,0.26711909799755823
SF ABF93_8-R1,0.001991850730461269,0.9586060214336534,0.26850286734469375
SF ABF93_8-R2,0.0020056643279564405,0.9876635235876567,0.26469693859008175
SF ABF93_8-R3,0.002020827140487203,0.8654974113632343,0.1968792262215896
SF ABF93_9-R1,0.0021262219601436067,0.8226982731352992,0.2902375212258882
SF ABF93_9-R2,0.00211082634652394,0.8357791871299899,0.2807640594455925
SF ABF93_9-R3,0.0020997313156165217,0.8484912877517866,0.28406992754723703
SF ABF93_10-R1,0.001956944892493437,0.9864235387343122,0.41228205359951814
SF ABF93_10-R2,0.001987749584533414,0.9912169179796071,0.46622937673028053
SF ABF93_10-R3,0.0021166317198135142,0.8261046195690338,0.38847504905678204
SF ABF93_11-R1,0.001974950908436984,0.8756683374960653,0.29647679337776667
SF ABF93_11-R2,0.0019797605303377578,0.933022784339338,0.28925514051969303
SF ABF93_11-R3,0.0019915176000239176,0.9581232746351374,0.2932952673493645
SF ABF93_12-R1,0.002079718393130244,0.8490688054556029,0.40803968528907997
SF ABF93_12-R2,0.0019722122349467206,1.095023798804997,0.49300176791926587
SF ABF93_12-R3,0.002053652981541256,0.8960863800323055,0.40509745593703844
SF ABF93_13-R1,0.0019725849743030895,1.046570879688354,0.32604557085811847
SF ABF93_13-R2,0.00224445886303185,0.7207236450791247,0.23656301136114133
SF ABF93_13-R3,0.002020365468802324,0.986886377711804,0.34757543147830955
SF ABF93_14-R1,0.002118239267914453,0.8901919556584279,0.4431197073383766
SF ABF93_14-R2,0.002150243528986143,0.8781024514599335,0.41311877492342397
SF ABF93_14-R3,0.0020303889646255922,1.0136912970224423,0.567111356212282
SF ABF93_15-R1,0.002154036195817298,0.8918037418223631,0.46273911632214626
SF ABF93_15-R2,0.002121643068995569,0.9545721664276616,0.4897404246451167
SF ABF93_15-R3,0.002018538496166943,1.1076442419610057,0.5334650112890437
SF ABF93_17-R1,0.00199950579470321,0.9790872313371172,0.25124195457662496
SF ABF93_17-R2,0.002054830323746001,0.8912675382699432,0.24927592038032068
SF ABF93_17-R3,0.0021505954521561506,0.7715431199261898,0.23025781718902413
